gene,a_i,b_i,c_i,d_i,e_i
Dll4,0.15240462,0.2848962,0.24264324,0.29120773,0.02884823
Chac1,0.21157892,0.1599516,0.23661411,0.35928354,0.032571793
Ino80,0.10993453,0.20699884,0.30120677,0.37543422,0.0064256787
Exd1,0.07233043,0.19871998,0.3420034,0.37318718,0.013759017
Chp1,0.7467619,0.09887042,0.073611386,0.056375045,0.02438128
Oip5os1,0.56487757,0.11099766,0.085286304,0.2038558,0.03498262
Oip5,0.22928506,0.13130876,0.29838702,0.31974196,0.02127719
Nusap1,0.22062577,0.18235557,0.25829288,0.30886608,0.029859722
Ndufaf1,0.21296641,0.17176583,0.23913023,0.3429831,0.03315437
Rtf1,0.21774752,0.18121785,0.2680139,0.3279395,0.0050812364
Itpka,0.12104286,0.20208034,0.28173396,0.3764334,0.018709421
Ltk,0.18839645,0.20282371,0.26719853,0.32280445,0.018776894
Rpap1,0.15703344,0.21714404,0.28149042,0.34215242,0.0021796823
Tyro3,0.34160236,0.14156017,0.20849946,0.27427942,0.03405863
Mga,0.17578165,0.23740761,0.29529878,0.26704833,0.024463654
Mapkbp1,0.09978172,0.14530192,0.27275118,0.456874,0.025291145
Jmjd7,0.09277503,0.14587782,0.26367867,0.41747037,0.08019817
Pla2g4b,0.48779446,0.17762493,0.11596025,0.1664322,0.052188158
Ehd4,0.18209855,0.16864547,0.27041754,0.3445589,0.034279525
Pla2g4f,0.81095785,0.04382524,0.07392813,0.06663387,0.004654944
Vps39,0.24480096,0.22097982,0.22672346,0.27734298,0.030152738
Tmem87a,0.4775849,0.13887227,0.16371335,0.19725713,0.022572398
Ganc,0.2577256,0.18640509,0.25690347,0.26957947,0.029386342
Capn3,0.085852616,0.16477121,0.31185806,0.40960702,0.027911067
Zfp106,0.14397003,0.16118583,0.2693828,0.39507517,0.03038609
Snap23,0.14292186,0.20492597,0.2890157,0.33865708,0.02447939
Lrrc57,0.016604224,0.15038858,0.29903054,0.5274263,0.006550312
Haus2,0.09180257,0.26478451,0.3161529,0.30157238,0.025687635
Stard9,0.100542024,0.20344429,0.29331532,0.382567,0.02013141
Cdan1,0.18876138,0.20157544,0.2744661,0.32025045,0.01494664
Ttbk2,0.09200104,0.17064188,0.32793495,0.38564983,0.023772359
Ubr1,0.17979167,0.21207213,0.2533692,0.338917,0.015849948
Tmem62,0.657318,0.09695028,0.12195091,0.099491455,0.02428931
Ccndbp1,0.109193936,0.22878662,0.28098616,0.34847283,0.032560468
Lcmt2,0.26407576,0.22533786,0.2580245,0.23178673,0.02077514
Adal,0.32538325,0.22318552,0.18033946,0.23952182,0.031569958
Zscan29,0.08939294,0.16209996,0.28949898,0.43219757,0.026810527
Tubgcp4,0.054108627,0.19900733,0.29965824,0.43471327,0.012512565
Trp53bp1,0.102574214,0.2170623,0.31866303,0.35183382,0.009866595
Map1a,0.15791234,0.20060015,0.28042912,0.337461,0.02359736
Ppip5k1,0.3985138,0.20572113,0.19463082,0.18174605,0.019388199
Strc,0.68782675,0.08655374,0.102436565,0.10406531,0.019117653
Catsper2,0.112310454,0.19982943,0.305534,0.3433733,0.038952827
Pdia3,0.21904814,0.21185493,0.23913607,0.31471014,0.015250683
Ell3,0.10081616,0.234344,0.30352905,0.34986073,0.011450052
Serinc4,0.73967713,0.09859863,0.07474911,0.07709569,0.00987941
Serf2,0.27116358,0.18767971,0.18298027,0.31210726,0.046069205
Hypk,0.1765259,0.1974583,0.26218736,0.33461604,0.029212356
Mfap1b,0.10831596,0.19240502,0.32566202,0.35001403,0.023602962
Mfap1a,0.10544304,0.2110943,0.26379782,0.3986876,0.020977259
Wdr76,0.3801557,0.13749698,0.17648852,0.2786848,0.027173996
Frmd5,0.0856993,0.21239506,0.31597817,0.37449515,0.01143229
Casc4,0.08078074,0.13617612,0.3474046,0.4283833,0.007255256
Ctdspl2,0.18074363,0.14770101,0.29254165,0.3660144,0.012999296
Eif3j1,0.42682967,0.10635572,0.18876044,0.24358873,0.034465432
Spg11,0.44349793,0.14048198,0.19214882,0.20078273,0.023088574
B2m,0.12286355,0.19617319,0.27862874,0.37325397,0.02908051
Trim69,0.18670963,0.22815655,0.2680606,0.29191273,0.025160491
Sord,0.57238084,0.11391301,0.123467006,0.17239003,0.017849088
Duoxa1,0.0831035,0.19606452,0.29829037,0.4008799,0.021661758
Shf,0.12781097,0.13724084,0.29005712,0.42447042,0.02042067
Slc28a2,0.1951191,0.16801248,0.26408476,0.35456523,0.018218398
Gm14085,0.15069486,0.1490378,0.29632866,0.37301525,0.030923367
Gatm,0.14062896,0.16577101,0.30610356,0.3317332,0.055763245
Spata5l1,0.070364535,0.1723271,0.29402536,0.4593457,0.003937304
AA467197,0.2023492,0.1554096,0.28423786,0.32761234,0.030390978
Slc30a4,0.10099968,0.15725747,0.2630142,0.45971158,0.0190171
Bloc1s6os,0.14249381,0.22817722,0.2613752,0.31881285,0.04914093
Bloc1s6,0.23408079,0.1371572,0.2597057,0.33202475,0.03703159
Sqor,0.2821828,0.17305106,0.24843863,0.2767669,0.019560575
Sema6d,0.108838744,0.18709424,0.29010338,0.3995531,0.014410615
Slc24a5,0.17920141,0.22759533,0.27444613,0.3038,0.01495713
Myef2,0.49284402,0.20074736,0.12967236,0.14424439,0.032491922
Dut,0.0784067,0.14093773,0.31897357,0.43317437,0.02850759
Cep152,0.103475705,0.20359871,0.30738303,0.34680292,0.038739562
Shc4,0.3812739,0.18603076,0.19479996,0.21228059,0.025614798
Eid1,0.12112011,0.2684728,0.25785264,0.33451998,0.018034458
Secisbp2l,0.48803192,0.1289185,0.16797577,0.17969583,0.03537798
Cops2,0.87034255,0.053792894,0.03431011,0.036585774,0.004968703
Galk2,0.691574,0.106731944,0.093986034,0.09769194,0.010016084
Dtwd1,0.059717767,0.14992344,0.3104744,0.4525299,0.027354479
Atp8b4,0.33486265,0.16902313,0.1848974,0.26245397,0.048762858
Slc27a2,0.22795388,0.19033769,0.24461094,0.3152141,0.021883428
Hdc,0.4521604,0.18429278,0.20779605,0.15121937,0.004531443
Gabpb1,0.19702475,0.20048779,0.21756233,0.3524066,0.032518506
Gm27003,0.13092647,0.19638991,0.29745162,0.35642648,0.018805504
Usp8,0.06607424,0.23901418,0.26256698,0.430569,0.0017756224
Usp50,0.5235414,0.15938918,0.16286735,0.1480693,0.006132722
Trpm7,0.18463115,0.17438751,0.24487303,0.33876088,0.057347417
Sppl2a,0.14680156,0.15373987,0.30064398,0.39571512,0.0030994415
Ap4e1,0.06657833,0.17266628,0.27511,0.4742177,0.0114277005
Blvra,0.3128321,0.1885127,0.20808935,0.26187608,0.028689742
Ncaph,0.9037529,0.030004073,0.028666992,0.032031443,0.005544603
Itpripl1,0.21196625,0.1684413,0.27428168,0.31799608,0.027314723
1810024B03Rik,0.15786341,0.20050845,0.28189266,0.32476225,0.034973264
Snrnp200,0.26373923,0.21754476,0.2011439,0.2578416,0.05973053
Ciao1,0.1107446,0.1734627,0.27566493,0.4047947,0.035333037
Tmem127,0.1350927,0.20422325,0.28469238,0.3364983,0.03949344
Stard7,0.3165873,0.20029794,0.21262428,0.2500939,0.02039659
Dusp2,0.117762744,0.19843261,0.28392175,0.38565934,0.014223576
Astl,0.12684852,0.18537591,0.29168782,0.36324278,0.03284502
Fahd2a,0.10790391,0.22986504,0.2784055,0.360192,0.02363354
Kcnip3,0.05999039,0.21152847,0.33986646,0.35877937,0.029835284
Zfp661,0.10746546,0.19053829,0.30534244,0.36413544,0.032518387
Mrps5,0.6415202,0.12589793,0.106036104,0.09933724,0.027208507
Mall,0.038305566,0.22072758,0.30438274,0.42640778,0.010176301
Nphp1,0.097924516,0.24832216,0.2679384,0.36533415,0.020480752
Mtln,0.13017067,0.16079411,0.2891124,0.3736929,0.04622996
Bub1,0.5132945,0.14819272,0.15888149,0.15826194,0.021369338
Acoxl,0.16807431,0.21911475,0.23087311,0.36286917,0.019068718
Bcl2l11,0.15370448,0.20861912,0.24879391,0.3758649,0.013017654
Morrbid,0.086483866,0.2330772,0.28981185,0.37547886,0.015148222
Gm39929,0.20742625,0.16905575,0.27147624,0.34922674,0.0028150082
Anapc1,0.19027132,0.13693005,0.2818933,0.38823438,0.0026709437
Tmem87b,0.5187824,0.15153517,0.1319381,0.17361607,0.024128318
Zc3h8,0.24381223,0.22638161,0.1973579,0.30062053,0.03182769
Gm10762,0.16072382,0.19770625,0.2534673,0.364912,0.023190618
Zc3h6,0.19567335,0.19839713,0.25026113,0.32949638,0.026172042
Ttl,0.060330298,0.16162357,0.30943418,0.4612187,0.007393241
Polr1b,0.14246666,0.20622359,0.29158837,0.35770884,0.0020124912
Chchd5,0.30668187,0.14848065,0.20159467,0.32576331,0.017479539
AI847159,0.19665654,0.20657596,0.25382853,0.31622702,0.02671194
Gm14029,0.14358133,0.20899728,0.26099506,0.35851988,0.027906418
Slc20a1,0.48101443,0.20516391,0.11416932,0.15475842,0.04489398
9830144P21Rik,0.083712906,0.12922628,0.2905617,0.4696799,0.02681923
Ckap2l,0.06142282,0.21396498,0.28766268,0.4286445,0.008304954
Gm14023,0.17664792,0.21010652,0.29494077,0.29346806,0.024836719
Il1b,0.09747369,0.13092875,0.30522096,0.43871504,0.027661562
Sirpa,0.11853712,0.20282137,0.27861476,0.3744552,0.025571525
Stk35,0.15625532,0.22636269,0.2673099,0.3317481,0.018324018
Snrpb,0.13329878,0.2095083,0.2723007,0.35420507,0.030687153
Nop56,0.6452993,0.13165715,0.081956044,0.09602562,0.045061886
Idh3b,0.07773606,0.17344223,0.3284051,0.3998229,0.020593703
Pced1a,0.08849397,0.17626086,0.2861338,0.42769858,0.02141273
Vps16,0.08802984,0.20186864,0.3484718,0.35174397,0.009885788
Ptpra,0.06380477,0.19114862,0.3077062,0.41336596,0.023974419
Mrps26,0.06142282,0.21396498,0.28766268,0.4286445,0.008304954
Ubox5,0.5422148,0.17929113,0.105146356,0.1355833,0.03776443
Fastkd5,0.12121787,0.18623745,0.28659335,0.38673547,0.019215822
Lzts3,0.3763601,0.13356438,0.18193398,0.27131313,0.0368284
Ddrgk1,0.10689396,0.2370138,0.26897475,0.36035094,0.026766539
Itpa,0.34928894,0.16824058,0.19904785,0.26010686,0.023315787
Slc4a11,0.094457924,0.16194072,0.2976979,0.4282127,0.017690718
4930402H24Rik,0.12581083,0.2304849,0.28617352,0.34050822,0.01702249
A730017L22Rik,0.7526934,0.078571774,0.07490217,0.081944674,0.011887908
Atrn,0.18144524,0.20834641,0.26628482,0.32635412,0.017569423
Adam33,0.18525863,0.20663902,0.23801227,0.34418622,0.025903821
Siglec1,0.21168491,0.16835645,0.2661097,0.3262786,0.027570367
1700037H04Rik,0.5993613,0.13014592,0.1259,0.13229264,0.012300134
Spef1,0.060190212,0.19817206,0.32557312,0.37828898,0.037775636
Cenpb,0.50836897,0.127069,0.16276078,0.16939248,0.032408774
Cdc25b,0.30065304,0.14855596,0.24297027,0.282891,0.024929762
Ap5s1,0.05047803,0.17665434,0.3128447,0.4432117,0.016811252
Mavs,0.15361066,0.219881,0.2693195,0.34343204,0.013756752
Pank2,0.12553729,0.2007456,0.28254065,0.36706328,0.024113178
Rnf24,0.12799162,0.2454971,0.27424446,0.34359327,0.008673549
Smox,0.26922303,0.21437553,0.22643788,0.26582187,0.02414167
Prnp,0.14284243,0.1968666,0.27790302,0.36957636,0.012811542
Rassf2,0.099821016,0.24283558,0.2645744,0.36686206,0.02590692
Slc23a2,0.49385336,0.15098348,0.16674577,0.16633987,0.0220775
Tmem230,0.14166115,0.26619288,0.25682428,0.31606156,0.019260108
Pcna,0.5900724,0.1815486,0.068722695,0.11237146,0.04728484
AV099323,0.12801802,0.22855484,0.2536317,0.38864505,0.0011503696
Cds2,0.19324127,0.2563972,0.19970219,0.2976423,0.05301708
1700026D11Rik,0.19932616,0.17259552,0.28923738,0.3154295,0.023411453
Gpcpd1,0.112652525,0.2935405,0.26075056,0.30107802,0.03197843
Shld1,0.07571458,0.2577128,0.2980793,0.36489627,0.003597021
Trmt6,0.46110487,0.21269815,0.14448808,0.17451705,0.007191837
Mcm8,0.8602561,0.03511783,0.037601355,0.05185757,0.015167177
Crls1,0.61655307,0.1146252,0.13185391,0.12371792,0.013249874
Lrrn4,0.1642008,0.19343679,0.26866943,0.36313504,0.01055795
Tmx4,0.10823667,0.1615856,0.28325102,0.4108589,0.036067843
Plcb4,0.15011247,0.21102631,0.28785872,0.34242523,0.008577287
Mkks,0.17599183,0.16906935,0.28540474,0.3552571,0.014276981
Slx4ip,0.2540028,0.23873892,0.23005389,0.25026506,0.026939332
Tasp1,0.09968734,0.1799312,0.26946354,0.4403692,0.01054877
Esf1,0.14766982,0.12266881,0.2761334,0.42350283,0.030025125
Ndufaf5,0.23009168,0.18715587,0.25988993,0.3217638,0.0010986924
Macrod2,0.33799145,0.17711341,0.23568016,0.23862632,0.010588646
Flrt3,0.0930108,0.22276744,0.27813202,0.38449714,0.021592617
Kif16b,0.124531254,0.2314464,0.25167462,0.36127242,0.03107524
Snrpb2,0.29192343,0.14292325,0.21276477,0.31236705,0.04002142
Bfsp1,0.073660694,0.17666735,0.30987036,0.42303458,0.016767025
Dstn,0.44653344,0.1419004,0.1565969,0.2089714,0.045997858
Rrbp1,0.14145318,0.20561185,0.25454742,0.36871588,0.029671669
Snx5,0.73311883,0.08004752,0.06690402,0.10630941,0.013620198
Mgme1,0.14168943,0.18452242,0.2873325,0.36067706,0.025778592
Ovol2,0.16224232,0.22214144,0.2625716,0.3216786,0.03136599
Kat14,0.16613899,0.15355013,0.2714875,0.4044081,0.0044152737
Dzank1,0.11709533,0.18364851,0.29067907,0.3889527,0.019624352
Polr3f,0.11448369,0.16690306,0.31263176,0.38891658,0.017064929
Rbbp9,0.15299952,0.14627355,0.30429387,0.38808426,0.008348823
Sec23b,0.11536112,0.2475646,0.25039035,0.3578556,0.028828382
Smim26,0.6303125,0.055041842,0.16557628,0.14431342,0.004755974
Dtd1,0.5428059,0.13295585,0.1447803,0.14150816,0.0379498
Slc24a3,0.13766426,0.25357136,0.28378227,0.3058142,0.0191679
Rin2,0.14347164,0.20641717,0.31333476,0.32854775,0.00822866
Naa20,0.5419167,0.11170215,0.13207805,0.17593743,0.038365662
Crnkl1,0.6551079,0.10926386,0.10993883,0.1055756,0.020113766
Insm1,0.51319766,0.14859015,0.14595619,0.17296714,0.019288838
Ralgapa2,0.4351012,0.15938166,0.15734035,0.22062719,0.027549565
Kiz,0.18397374,0.15228842,0.28051856,0.37692136,0.0062978864
Xrn2,0.49773034,0.15042709,0.16518654,0.16470976,0.021946311
Nkx2-2,0.13228105,0.16003096,0.28638035,0.41756722,0.0037404299
Thbd,0.2660262,0.21031965,0.22447929,0.27611056,0.023064375
Cd93,0.039815824,0.17954403,0.3181347,0.45556515,0.0069403052
Nxt1,0.23474494,0.18908694,0.25387597,0.30818415,0.014108002
Gzf1,0.18226472,0.19480613,0.27899152,0.31333065,0.030606985
Napb,0.6569841,0.09774629,0.112322114,0.115005374,0.01794213
Cst3,0.82347226,0.049930114,0.044425055,0.06489213,0.01728046
Zfp120,0.17115933,0.24007659,0.23604527,0.3491457,0.0035731196
Gm14139,0.15283933,0.19203459,0.29463062,0.33915544,0.021340013
Zfp937,0.1646604,0.1986112,0.29212198,0.32128334,0.02332306
3300002I08Rik,0.23711929,0.16739321,0.26253766,0.30266684,0.030283034
Gm10130,0.15519074,0.12252307,0.29831284,0.41870296,0.005270362
Zfp442,0.25707954,0.18620893,0.23919837,0.2840993,0.033413887
Zfp345,0.31064582,0.18476824,0.22619797,0.26548442,0.012903571
Cst7,0.35930747,0.16581115,0.20215905,0.24711539,0.02560699
Apmap,0.3453776,0.19747323,0.18865858,0.2604969,0.0079936385
Gm14123,0.14472598,0.19689743,0.2587468,0.38416505,0.015464723
Acss1,0.74038655,0.08575114,0.06891088,0.09698553,0.007965922
E130215H24Rik,0.11691394,0.2629197,0.2660548,0.31672147,0.037390113
Entpd6,0.1015425,0.1596423,0.33974242,0.36603388,0.033038855
Pygb,0.4340847,0.14777192,0.18701512,0.208988,0.022140265
Abhd12,0.19373775,0.25181022,0.27848724,0.24846001,0.027504802
Gins1,0.22340517,0.21290107,0.25023332,0.29640904,0.017051458
Ninl,0.05571399,0.23293725,0.31564096,0.39350656,0.0022013187
Nanp,0.43987375,0.13087182,0.18138567,0.20592545,0.04194331
Gm14149,0.18761316,0.1938762,0.28356034,0.33156365,0.0033866763
Nsfl1c,0.28135628,0.21605293,0.19875316,0.28977844,0.014059186
Gm14167,0.7879477,0.08018979,0.04791766,0.064537816,0.019407034
Fkbp1a,0.07728899,0.17411558,0.3284039,0.39507157,0.02511996
Sdcbp2,0.12175558,0.1770807,0.28833058,0.3999876,0.012845516
Snph,0.21926217,0.15199381,0.23946472,0.3512143,0.038065016
Tmem74b,0.35771894,0.1521198,0.22551258,0.22280896,0.04183972
Psmf1,0.11080199,0.18743275,0.3316805,0.34411907,0.02596569
Gm14154,0.18103929,0.1943787,0.25792313,0.34947777,0.017181098
Fam110a,0.09829895,0.21654205,0.2877701,0.3813449,0.01604402
Slc52a3,0.09092704,0.17731851,0.31434044,0.40418917,0.01322484
Srxn1,0.2666012,0.14861824,0.22265923,0.3264286,0.03569275
Csnk2a1,0.15823264,0.23042157,0.28792685,0.31338733,0.010031581
Tbc1d20,0.64995784,0.12622538,0.10068659,0.11184783,0.011282325
Rbck1,0.23125403,0.18427765,0.25099787,0.2987472,0.03472328
Trib3,0.07006511,0.18898214,0.31258965,0.40634578,0.0220173
Sox12,0.30927563,0.13247752,0.2357858,0.27670678,0.045754313
Zcchc3,0.22296,0.16698168,0.28296638,0.31546068,0.01163125
Defb25,0.11809464,0.1742699,0.3007278,0.37965044,0.027257204
Rem1,0.21423832,0.1597773,0.2541872,0.3457139,0.02608329
H13,0.16031714,0.15085965,0.31324798,0.31541252,0.060162723
Mcts2,0.16664697,0.17892486,0.28128797,0.3503273,0.022812903
Id1,0.7608976,0.0702277,0.058294017,0.099921465,0.010659277
Bcl2l1,0.14981933,0.18611781,0.26480722,0.35440108,0.04485452
Tpx2,0.61339915,0.10478875,0.1183382,0.1393752,0.024098635
Pdrg1,0.23121329,0.17644474,0.25848478,0.3121534,0.02170378
Hck,0.26406252,0.1832999,0.26975238,0.26556474,0.017320454
Tm9sf4,0.27779016,0.17621332,0.2106441,0.32349467,0.011857748
Tspyl3,0.14710645,0.21569303,0.27577668,0.32277656,0.038647294
Plagl2,0.17803517,0.1820578,0.26932108,0.34557408,0.025011837
Pofut1,0.15233317,0.16196287,0.27493936,0.373177,0.037587583
Kif3b,0.17813636,0.18148859,0.28183967,0.3121138,0.046421647
2500004C02Rik,0.104496196,0.15091737,0.31182525,0.40957627,0.023184896
Asxl1,0.30447283,0.1307444,0.24584498,0.30831882,0.010618925
Nol4l,0.1938086,0.16695142,0.2570727,0.37728935,0.004877925
Commd7,0.1275205,0.16813827,0.2718356,0.39595032,0.03655529
Dnmt3b,0.099027425,0.17160809,0.2879992,0.40803996,0.033325315
Mapre1,0.031603426,0.16784598,0.34458572,0.4375602,0.018404663
Cdk5rap1,0.12592492,0.21368626,0.26817527,0.355793,0.036420584
Snta1,0.09660801,0.20903334,0.30181926,0.36332446,0.029214919
Cbfa2t2,0.52185136,0.13269575,0.15884277,0.16545282,0.021157265
Necab3,0.115118325,0.21122639,0.28935856,0.36674452,0.017552197
E2f1,0.13511431,0.15477471,0.28958467,0.39508012,0.025446177
Pxmp4,0.57930726,0.15901391,0.110646084,0.14693934,0.0040934086
4930519P11Rik,0.11938053,0.13869028,0.28718644,0.42817515,0.026567578
Zfp341,0.12032592,0.2130446,0.27459538,0.3643198,0.027714312
Chmp4b,0.3851048,0.1589556,0.21479985,0.20402803,0.03711176
Raly,0.159651,0.22172558,0.25013384,0.33835045,0.030139208
a,0.10875334,0.2135883,0.289961,0.37071604,0.016981304
Eif2s2,0.4913954,0.13915652,0.16874388,0.18430468,0.016399503
Ahcy,0.11061884,0.15171875,0.32050475,0.36782867,0.049328983
Itch,0.17065641,0.1416679,0.26303285,0.3886225,0.03602028
Dynlrb1,0.56574607,0.13935298,0.13927865,0.14168265,0.013939619
Map1lc3a,0.19634652,0.1428588,0.28069177,0.35440665,0.025696218
Pigu,0.09204979,0.23260686,0.30847716,0.3586243,0.008241892
Trp53inp2,0.099820845,0.13481306,0.3070086,0.45668927,0.0016682148
Ncoa6,0.26048732,0.14963834,0.19831988,0.3201039,0.07145059
Ggt7,0.74863595,0.063400425,0.076931156,0.09861588,0.012416542
Acss2,0.059206717,0.19937736,0.29920894,0.4173528,0.024854183
Gss,0.13959017,0.18459064,0.28086025,0.37660304,0.018355966
Trpc4ap,0.07177201,0.15932879,0.3411243,0.42715037,0.00062453747
Edem2,0.12166019,0.2579016,0.27261156,0.3354819,0.012344718
Procr,0.19321625,0.23912211,0.25811493,0.28348407,0.026062608
BC029722,0.77427536,0.055439364,0.055177778,0.106841534,0.008265972
Eif6,0.14360476,0.15581761,0.31687373,0.37150568,0.01219821
Uqcc1,0.11421277,0.1705649,0.31305352,0.3642905,0.037878275
Cep250,0.15243265,0.18328123,0.28895408,0.3692511,0.006080985
6430550D23Rik,0.17971432,0.22268207,0.2680611,0.31454682,0.014995694
Ergic3,0.50719696,0.1917719,0.10025054,0.16579345,0.034987092
Spag4,0.085410126,0.15698572,0.30046263,0.444805,0.012336493
Cpne1,0.49875438,0.15284409,0.15186507,0.16876775,0.027768731
Nfs1,0.15621677,0.19468816,0.2748984,0.32852587,0.045670748
Romo1,0.078766465,0.21765824,0.26999426,0.40462947,0.028951585
Rbm39,0.22197585,0.19925813,0.23941486,0.33409885,0.0052523613
Phf20,0.75496763,0.084304035,0.0816486,0.07418303,0.0048967004
Scand1,0.13534188,0.20530927,0.26881245,0.34646773,0.044068694
Cnbd2,0.27662274,0.1922468,0.21195659,0.27026975,0.04890412
2900097C17Rik,0.36276433,0.18190403,0.1820184,0.24806203,0.02525121
Epb41l1,0.14982556,0.21920797,0.26976466,0.34993815,0.011263669
Aar2,0.12792194,0.17760256,0.26320884,0.4117393,0.019527376
Dlgap4,0.18006334,0.17575616,0.2873277,0.33981517,0.01703763
4930405A21Rik,0.13382992,0.26186848,0.25780475,0.33049688,0.015999913
Gm14230,0.11623594,0.3170611,0.23854402,0.32555994,0.002599001
Tgif2,0.12337813,0.1983427,0.28318906,0.3711953,0.023894787
5430405H02Rik,0.31015176,0.19860713,0.18669714,0.2400631,0.0644809
Rab5if,0.44733822,0.11701434,0.1634872,0.2230476,0.049112618
Sla2,0.12645942,0.21126047,0.27774101,0.35925162,0.025287509
Ndrg3,0.12723516,0.14889206,0.33600804,0.37026256,0.017602146
Dsn1,0.34018064,0.17242889,0.19298567,0.2803904,0.014014363
Soga1,0.19335097,0.1347449,0.28651175,0.354073,0.03131944
Samhd1,0.27519464,0.2376355,0.24208118,0.21862413,0.026464581
Rbl1,0.20820057,0.2057414,0.2594159,0.31097627,0.015665889
Mroh8,0.066163525,0.13017364,0.32366794,0.46714497,0.012849927
Rpn2,0.19809027,0.23778601,0.26753548,0.2613822,0.03520608
Manbal,0.4224142,0.1875445,0.15779717,0.2119922,0.02025193
Src,0.055393208,0.2403298,0.32633588,0.3661542,0.011786938
Gm14286,0.50609076,0.1677562,0.13180497,0.14259905,0.05174905
Blcap,0.42704594,0.15902212,0.19557156,0.20948559,0.008874834
Platr27,0.12962371,0.22929817,0.28569895,0.33158502,0.023794174
Ctnnbl1,0.26853636,0.19781843,0.20975555,0.28455314,0.039336562
Tti1,0.4579641,0.13162725,0.17603238,0.20511056,0.029265761
Rprd1b,0.17903778,0.2315521,0.22571304,0.35070744,0.01298964
Tgm2,0.08839454,0.15489703,0.30595455,0.43047607,0.020277798
Snhg17,0.26967573,0.1740315,0.21325439,0.28459433,0.058444023
Ralgapb,0.09570844,0.21793182,0.2839965,0.36984196,0.032521248
Slc32a1,0.72641337,0.06566933,0.084008634,0.10126841,0.022640288
Actr5,0.14100745,0.21247366,0.27481586,0.35287055,0.018832445
Ppp1r16b,0.17295358,0.17770395,0.2893687,0.33671936,0.023254395
Fam83d,0.8503774,0.047735646,0.040390387,0.037747964,0.023748636
Dhx35,0.20322394,0.18663356,0.25300035,0.33626375,0.020878434
Mafb,0.24304876,0.18474403,0.25529343,0.2936094,0.023304343
Top1,0.164397,0.21707976,0.2405936,0.3442285,0.03370112
Plcg1,0.093175165,0.21107978,0.29936358,0.38172925,0.014652252
Zhx3,0.19605489,0.1814567,0.29097503,0.2978588,0.03365457
Lpin3,0.111410394,0.16097933,0.30008525,0.41211015,0.015414894
Chd6,0.073281735,0.2369329,0.282168,0.3941894,0.013427973
Gm45447,0.31096643,0.24618152,0.19350554,0.23932427,0.010022223
Srsf6,0.07673333,0.21302131,0.29352656,0.39993864,0.016780198
Ift52,0.0679954,0.17803991,0.3348832,0.41836962,0.00071179867
Mybl2,0.819094,0.06252979,0.05393978,0.051251817,0.013184607
Tox2,0.061465785,0.14650324,0.35678065,0.41467246,0.020577908
Oser1,0.24087925,0.22756426,0.23457392,0.27913854,0.01784408
2900093K20Rik,0.41908178,0.1529412,0.20939569,0.21477033,0.0038110018
Gdap1l1,0.584257,0.14138004,0.12220436,0.14124519,0.010913372
Fitm2,0.5362004,0.15990338,0.14821741,0.13150267,0.024176061
Ttpal,0.24542074,0.13158529,0.25026318,0.34395027,0.02878052
Serinc3,0.13653356,0.27132654,0.2805866,0.27868146,0.032871842
0610039K10Rik,0.09143607,0.19409868,0.32167244,0.3861101,0.0066827536
Pkig,0.06661313,0.1736421,0.31448698,0.4178249,0.027432919
Ada,0.13105631,0.16185012,0.26498497,0.41834772,0.023760915
Ywhab,0.2866097,0.20902017,0.20498411,0.2546742,0.04471183
Pabpc1l,0.0707702,0.21457128,0.30983412,0.38351938,0.021304965
Tomm34,0.12263977,0.1282667,0.28810656,0.42953604,0.031450927
Stk4,0.12888584,0.18530852,0.30393136,0.36235976,0.01951456
Gm11455,0.19525027,0.13379228,0.27569512,0.36056456,0.03469777
Sdc4,0.13564083,0.22110565,0.31083363,0.31755647,0.014863372
Sys1,0.13648875,0.17374332,0.2792541,0.3814051,0.029108763
Dbndd2,0.1849119,0.15398099,0.272163,0.38068694,0.00825721
Pigt,0.13369447,0.20274203,0.28892043,0.35541508,0.019227982
Dnttip1,0.08843189,0.15875374,0.35475606,0.39095917,0.0070991516
Gm11457,0.759293,0.096833155,0.07552481,0.06390922,0.004439771
Ube2c,0.22667852,0.14533357,0.23949341,0.3720037,0.016490817
Snx21,0.11047557,0.20202038,0.29442272,0.36773357,0.02534771
Acot8,0.14949809,0.20784257,0.27533272,0.3419622,0.025364399
Zswim3,0.47108385,0.16766208,0.15983406,0.18211491,0.01930517
Zswim1,0.0996627,0.19672285,0.32937396,0.345256,0.028984547
Neurl2,0.10384861,0.1617305,0.31898826,0.39046144,0.024971187
Ctsa,0.107046835,0.1743192,0.32024422,0.37800354,0.020386219
Pltp,0.13287015,0.24491408,0.29630002,0.32162905,0.004286647
Pcif1,0.15784933,0.12652715,0.27982152,0.40661442,0.02918756
Zfp335,0.088179275,0.1673915,0.28874913,0.44041866,0.015261471
Zfp335os,0.09970981,0.14845486,0.26802185,0.46119025,0.022623181
Mmp9,0.27390587,0.21328072,0.22223546,0.27367973,0.016898215
Slc12a5,0.9162297,0.049500756,0.015912319,0.018311257,4.595518e-05
Ncoa5,0.1059462,0.22984532,0.26920462,0.3734411,0.021562755
Cd40,0.5530386,0.12555395,0.13778281,0.1544956,0.029129028
Slc35c2,0.2763793,0.21054,0.23495647,0.25846887,0.019655347
Elmo2,0.116900794,0.19275936,0.3124756,0.35371745,0.024146795
Slc13a3,0.1886168,0.16533728,0.26210725,0.34636816,0.037570477
